"Goroka.Airport","Goroka","Papua.New.Guinea","GKA"
"Kigali International Airport","Kigali","Rwanda","KGL"
"Kamembe Airport","Kamembe","Rwanda","KME"
"Dongola Airport","Dongola","Sudan","DOG"
"Damazin Airport","Damazin","Sudan","RSS"
"El Fasher Airport","El Fasher","Sudan","ELF"
"Kassala Airport","Kassala","Sudan","KSL"
"Kadugli Airport","Kadugli","Sudan","KDX"
"El Obeid Airport","El Obeid","Sudan","EBD"
"Juba International Airport","Juba","South Sudan","JUB"
"Malakal Airport","Malakal","Sudan","MAK"
"Khartoum International Airport","Khartoum","Sudan","KRT"
"Arusha Airport","Arusha","Tanzania","ARK"
"Julius Nyerere International Airport","Dar Es Salaam","Tanzania","DAR"
"Dodoma Airport","Dodoma","Tanzania","DOD"
"Iringa Airport","Iringa","Tanzania","IRI"
"Kilimanjaro International Airport","Kilimanjaro","Tanzania","JRO"
"Lake Manyara Airport","Lake Manyara","Tanzania","LKY"
"Mtwara Airport","Mtwara","Tanzania","MYW"
"Mwanza Airport","Mwanza","Tanzania","MWZ"
"Pemba Airport","Pemba","Tanzania","PMA"
"Tanga Airport","Tanga","Tanzania","TGT"
"Abeid Amani Karume International Airport","Zanzibar","Tanzania","ZNZ"
"Entebbe International Airport","Entebbe","Uganda","EBB"
"Soroti Airport","Soroti","Uganda","SRT"
"Tirana International Airport Mother Teresa","Tirana","Albania","TIA"
"Burgas Airport","Bourgas","Bulgaria","BOJ"
"Gorna Oryahovitsa Airport","Gorna Orechovica","Bulgaria","GOZ"
"Plovdiv International Airport","Plovdiv","Bulgaria","PDV"
"Sofia Airport","Sofia","Bulgaria","SOF"
"Stara Zagora Airport","Stara Zagora","Bulgaria","SZR"
"Varna Airport","Varna","Bulgaria","VAR"
"Larnaca International Airport","Larnaca","Cyprus","LCA"
"Paphos International Airport","Paphos","Cyprus","PFO"
"RAF Akrotiri","Akrotiri","Cyprus","AKT"
"Dubrovnik Airport","Dubrovnik","Croatia","DBV"
"Osijek-Čepin Airfield","Cepin","Croatia","\N"
"Osijek Airport","Osijek","Croatia","OSI"
"Pula Airport","Pula","Croatia","PUY"
"Grobnicko Polje Airport","Grobnik","Croatia","\N"
"Rijeka Airport","Rijeka","Croatia","RJK"
"Split Airport","Split","Croatia","SPU"
"Varaždin Airport","Varazdin","Croatia","\N"
"Zagreb Airport","Zagreb","Croatia","ZAG"
"Zadar Airport","Zadar","Croatia","ZAD"
"Udbina Air Base","Udbina","Croatia","\N"
"Albacete-Los Llanos Airport","Albacete","Spain","ABC"
"Alicante International Airport","Alicante","Spain","ALC"
"Almería International Airport","Almeria","Spain","LEI"
"Asturias Airport","Aviles","Spain","OVD"
"Córdoba Airport","Cordoba","Spain","ODB"
"Bilbao Airport","Bilbao","Spain","BIO"
"Barcelona International Airport","Barcelona","Spain","BCN"
"Badajoz Airport","Badajoz","Spain","BJZ"
"A Coruña Airport","La Coruna","Spain","LCG"
"Armilla Air Base","Granada","Spain","\N"
"Girona Airport","Gerona","Spain","GRO"
"Federico Garcia Lorca Airport","Granada","Spain","GRX"
"Getafe Air Base","Madrid","Spain","\N"
"Ibiza Airport","Ibiza","Spain","IBZ"
"Jerez Airport","Jerez","Spain","XRY"
"San Javier Airport","Murcia","Spain","MJV"
"Adolfo Suárez Madrid–Barajas Airport","Madrid","Spain","MAD"
"Málaga Airport","Malaga","Spain","AGP"
"Menorca Airport","Menorca","Spain","MAH"
"Moron Air Base","Sevilla","Spain","OZP"
"Ocaña Airport","Ocana","Spain","\N"
"Pamplona Airport","Pamplona","Spain","PNA"
"Alcantarilla Air Base","Murcia","Spain","\N"
"Reus Air Base","Reus","Spain","REU"
"Rota Naval Station Airport","Rota","Spain","ROZ"
"Salamanca Airport","Salamanca","Spain","SLM"
"Son Bonet Airport","Son Bonet","Spain","\N"
"San Luis Airport","San Luis","Spain","\N"
"San Sebastian Airport","San Sebastian","Spain","EAS"
"Santiago de Compostela Airport","Santiago","Spain","SCQ"
"Pirineus - la Seu d'Urgel Airport","Seo De Urgel","Spain","LEU"
"Torrejón Airport","Madrid","Spain","TOJ"
"Valencia Airport","Valencia","Spain","VLC"
"Valladolid Airport","Valladolid","Spain","VLL"
"Vitoria/Foronda Airport","Vitoria","Spain","VIT"
"Vigo Airport","Vigo","Spain","VGO"
"Santander Airport","Santander","Spain","SDR"
"Zaragoza Air Base","Zaragoza","Spain","ZAZ"
"Sevilla Airport","Sevilla","Spain","SVQ"
"Calais-Dunkerque Airport","Calais","France","CQF"
"Péronne-Saint-Quentin Airport","Peronne","France","\N"
"Nangis-Les Loges Airport","Nangis","France","\N"
"Bagnoles-de-l'Orne-Couterne Airport","Bagnole-de-l'orne","France","\N"
"Albert-Bray Airport","Albert","France","BYF"
"Le Touquet-Côte d'Opale Airport","Le Tourquet","France","LTQ"
"Valenciennes-Denain Airport","Valenciennes","France","XVS"
"Amiens-Glisy Airport","Amiens","France","\N"
"Agen-La Garenne Airport","Agen","France","AGF"
"Cazaux (BA 120) Air Base","Cazaux","France","\N"
"Bordeaux-Mérignac Airport","Bordeaux","France","BOD"
"Bergerac-Roumanière Airport","Bergerac","France","EGC"
"Toulouse-Francazal (BA 101) Air Base","Toulouse","France","\N"
"Cognac-Châteaubernard (BA 709) Air Base","Cognac","France","CNG"
"Poitiers-Biard Airport","Poitiers","France","PIS"
"Montluçon-Guéret Airport","Montlucon-gueret","France","MCU"
"Limoges Airport","Limoges","France","LIG"
"Mont-de-Marsan (BA 118) Air Base","Mont-de-marsan","France","\N"
"Niort-Souché Airport","Niort","France","NIT"
"Toulouse-Blagnac Airport","Toulouse","France","TLS"
"Pau Pyrénées Airport","Pau","France","PUF"
"Muret-Lherm Airport","La Rochelle","France","\N"
"Tarbes-Lourdes-Pyrénées Airport","Tarbes","France","LDE"
"Angoulême-Brie-Champniers Airport","Angouleme","France","ANG"
"Brive Souillac Airport","Brive","France","BVE"
"Périgueux-Bassillac Airport","Perigueux","France","PGX"
"Biarritz-Anglet-Bayonne Airport","Biarritz-bayonne","France","BIQ"
"Cahors-Lalbenque Airport","Cahors","France","ZAO"
"Saint-Girons-Antichan Airport","St.-girons","France","\N"
"Arcachon-La Teste-de-Buch Airport","Arcachon","France","\N"
"Albi-Le Séquestre Airport","Albi","France","LBI"
"Castres-Mazamet Airport","Castres","France","DCM"
"Toulouse-Lasbordes Airport","Toulouse","France","\N"
"Millau-Larzac Airfield","Millau","France","\N"
"Graulhet-Montdragon Airport","Graulhet","France","\N"
"Rodez-Marcillac Airport","Rodez","France","RDZ"
"Ussel-Thalamy Airport","Ussel","France","\N"
"Villeneuve-sur-Lot Airport","Villeneuve-sur-lot","France","\N"
"Royan-Médis Airport","Royan","France","RYN"
"Mimizan Airport","Mimizan","France","\N"
"Aire-sur-l'Adour Airport","Aire-sur-l'adour","France","\N"
"Montauban Airport","Montauban","France","XMW"
"Auch-Lamothe Airport","Auch","France","\N"
"Libourne-Artigues-de-Lussac Airport","Libourne","France","\N"
"Pamiers-Les Pujols Airport","Pamiers","France","\N"
"Marmande-Virazeil Airport","Marmande","France","\N"
"Rochefort-Saint-Agnant (BA 721) Airport","Rochefort","France","RCO"
"Pontivy Airport","Pontivy","France","\N"
"Aubigny-sur-Nère Airport","Aubigny-sur-nere","France","\N"
"Guiscriff Scaer Airport","Guiscriff-scaer","France","\N"
"Ancenis Airport","Ancenis","France","\N"
"Brienne-le-Château Airport","Brienne-le Chateau","France","\N"
"Colmar-Houssen Airport","Colmar","France","CMR"
"Beaune-Challanges Airport","Beaune","France","\N"
"Dole-Tavaux Airport","Dole","France","DLE"
"Joigny Airport","Joigny","France","\N"
"Verdun-Le Rozelier Airfield","Verdun","France","\N"
"Aubenas-Ardèche Méridional Airport","Aubenas-vals-lanas","France","OBS"
"Le Puy-Loudes Airport","Le Puy","France","LPY"
"Saint-Flour-Coltines Airport","St.-flour","France","\N"
"Bourg-Ceyzériat Airport","Bourg","France","\N"
"Villefranche-Tarare Airport","Vilefrance","France","\N"
"Moulins-Montbeugny Airport","Moulins","France","\N"
"Saint-Affrique-Belmont Airport","St.-afrique-belmont","France","\N"
"Cassagnes-Bégonhès Airport","Cassagnes-beghones","France","\N"
"Metz-Nancy-Lorraine Airport","Metz","France","ETZ"
"Bastia-Poretta Airport","Bastia","France","BIA"
"Calvi-Sainte-Catherine Airport","Calvi","France","CLY"
"Figari Sud-Corse Airport","Figari","France","FSC"
"Ajaccio-Napoléon Bonaparte Airport","Ajaccio","France","AJA"
"Propriano Airport","Propriano","France","PRP"
"Solenzara (BA 126) Air Base","Solenzara","France","SOZ"
"Corte Airport","Corte","France","\N"
"Auxerre-Branches Airport","Auxerre","France","AUF"
"Chambéry-Savoie Airport","Chambery","France","CMF"
"Clermont-Ferrand Auvergne Airport","Clermont-Ferrand","France","CFE"
"Bourges Airport","Bourges","France","BOU"
"Chambéry-Challes-les-Eaux Airport","Chambery","France","\N"
"Chalon-Champforgeuil Airport","Chalon","France","\N"
"Annemasse Airport","Annemasse","France","QNJ"
"Lyon Saint-Exupéry Airport","Lyon","France","LYS"
"Mâcon-Charnay Airport","Macon","France","\N"
"Saint-Yan Airport","St.-yan","France","SYT"
"Roanne-Renaison Airport","Roanne","France","RNE"
"Annecy-Haute-Savoie-Mont Blanc Airport","Annecy","France","NCY"
"Grenoble-Isère Airport","Grenoble","France","GNB"
"Montluçon-Domérat Airport","Montlucon","France","\N"
"Valence-Chabeuil Airport","Valence","France","VAF"
"Vichy-Charmeil Airport","Vichy","France","VHY"
"Aurillac Airport","Aurillac","France","AUR"
"Châteauroux-Déols ""Marcel Dassault"" Airport","Chateauroux","France","CHR"
"Lyon-Bron Airport","Lyon","France","LYN"
"Aix-en-Provence (BA 114) Airport","Aix-les-milles","France","\N"
"Le Luc-Le Cannet Airport","Le Luc","France","\N"
"Cannes-Mandelieu Airport","Cannes","France","CEQ"
"Saint-Étienne-Bouthéon Airport","St-Etienne","France","EBU"
"Istres Le Tubé/Istres Air Base (BA 125) Airport","Istres","France","\N"
"Carcassonne Airport","Carcassonne","France","CCF"
"Marseille Provence Airport","Marseille","France","MRS"
"Nice-Côte d'Azur Airport","Nice","France","NCE"
"Orange-Caritat (BA 115) Air Base","Orange","France","XOG"
"Perpignan-Rivesaltes (Llabanère) Airport","Perpignan","France","PGF"
"Le Castellet Airport","Le Castellet","France","CTT"
"Alès-Deaux Airport","Ales","France","\N"
"Montpellier-Méditerranée Airport","Montpellier","France","MPL"
"Béziers-Vias Airport","Beziers","France","BZR"
"Avignon-Caumont Airport","Avignon","France","AVN"
"Salon-de-Provence (BA 701) Air Base","Salon","France","\N"
"Lézignan-Corbières Airfield","Lezignan-corbieres","France","\N"
"Mende-Brenoux Airfield","Mende","France","MEN"
"Carpentras Airport","Carpentras","France","\N"
"Avord (BA 702) Air Base","Avord","France","\N"
"Paris Beauvais Tillé Airport","Beauvais","France","BVA"
"Châteaudun (BA 279) Air Base","Chateaudun","France","\N"
"Saumur-Saint-Florent Airport","Saumur","France","\N"
"Évreux-Fauville (BA 105) Air Base","Evreux","France","EVX"
"Le Havre Octeville Airport","Le Havre","France","LEH"
"Abbeville","Abbeville","France","XAB"
"Orléans-Bricy (BA 123) Air Base","Orleans","France","ORE"
"Châlons-Vatry Airport","Chalons","France","XCR"
"Rouen Airport","Rouen","France","URO"
"Tours-Val-de-Loire Airport","Tours","France","TUF"
"Cholet Le Pontreau Airport","Cholet","France","CET"
"Laval-Entrammes Airport","Laval","France","LVA"
"Orléans-Saint-Denis-de-l'Hôtel Airport","Orleans","France","\N"
"Paris-Le Bourget Airport","Paris","France","LBG"
"Creil Air Base","Creil","France","CSF"
"Charles de Gaulle International Airport","Paris","France","CDG"
"Coulommiers-Voisins Airport","Coulommiers","France","\N"
"Melun-Villaroche Air Base","Melun","France","\N"
"Toussus-le-Noble Airport","Toussous-le-noble","France","TNF"
"Paris-Orly Airport","Paris","France","ORY"
"Pontoise - Cormeilles-en-Vexin Airport","Pontoise","France","POX"
"Villacoublay-Vélizy (BA 107) Air Base","Villacoublay","France","VIY"
"Reims-Prunay Airport","Reims","France","\N"
"Troyes-Barberey Airport","Troyes","France","\N"
"Lunéville-Croismare Airport","Luneville","France","\N"
"Étain-Rouvres Air Base","Etain","France","\N"
"Autun-Bellevue Airport","Autun","France","\N"
"Nevers-Fourchambault Airport","Nevers","France","NVS"
"Cambrai-Épinoy (BA 103) Air Base","Cambrai","France","\N"
"Maubeuge-Élesmes Airport","Maubeuge","France","XME"
"Besançon-La Vèze Airport","Besancon-la-veze","France","\N"
"Phalsbourg-Bourscheid Air Base","Phalsbourg","France","\N"
"Lille-Lesquin Airport","Lille","France","LIL"
"Merville-Calonne Airport","Merville","France","HZB"
"Charleville-Mézières Airport","Charleville","France","XCZ"
"Vesoul-Frotey Airport","Vesoul-frotey","France","\N"
"Brest Bretagne Airport","Brest","France","BES"
"Cherbourg-Maupertus Airport","Cherbourg","France","CER"
"Dinard-Pleurtuit-Saint-Malo Airport","Dinard","France","DNR"
"La Baule-Escoublac Airport","La Baule","France","LBY"
"Granville Airport","Granville","France","GFR"
"Deauville-Saint-Gatien Airport","Deauville","France","DOL"
"Lorient South Brittany (Bretagne Sud) Airport","Lorient","France","LRT"
"La Roche-sur-Yon Airport","La Roche-sur-yon","France","EDM"
"Landivisiau Air Base","Landivisiau","France","LDV"
"Caen-Carpiquet Airport","Caen","France","CFR"
"Lanvéoc-Poulmic Air Base","Lanvedoc","France","\N"
"Le Mans-Arnage Airport","Le Mans","France","LME"
"Rennes-Saint-Jacques Airport","Rennes","France","RNS"
"Lannion-Côte de Granit Airport","Lannion","France","LAI"
"Quimper-Cornouaille Airport","Quimper","France","UIP"
"Nantes Atlantique Airport","Nantes","France","NTE"
"Saint-Brieuc-Armor Airport","St.-brieuc Armor","France","SBK"
"Morlaix-Ploujean Airport","Morlaix","France","MXN"
"Vannes-Meucon Airport","Vannes","France","VNE"
"Saint-Nazaire-Montoir Airport","St.-nazaire","France","SNR"
"EuroAirport Basel-Mulhouse-Freiburg Airport","Mulhouse","France","BSL"
"Colmar-Meyenheim Air Base","Colmar","France","\N"
"Dijon-Bourgogne Airport","Dijon","France","DIJ"
"Metz-Frescaty (BA 128) Air Base","Metz","France","MZM"
"Épinal-Mirecourt Airport","Epinal","France","EPL"
"Haguenau Airport","Haguenau","France","\N"
"Saint-Dizier-Robinson (BA 113) Air Base","St.-dizier","France","\N"
"Montbéliard-Courcelles Airfield","Montbeliard","France","\N"
"Nancy-Essey Airport","Nancy","France","ENC"
"Nancy-Ochey (BA 133) Air Base","Nancy","France","\N"
"Pontarlier Airport","Pontarlier","France","\N"
"Reims-Champagne (BA 112) Air Base","Reims","France","RHE"
"Strasbourg Airport","Strasbourg","France","SXB"
"Luxeuil-Saint-Sauveur (BA 116) Air Base","Luxeuil","France","\N"
"Cuers-Pierrefeu Airport","Cuers","France","\N"
"Toulon-Hyères Airport","Hyeres","France","TLN"
"Nîmes-Arles-Camargue Airport","Nimes","France","FNI"
"Miquelon Airport","Miquelon","Saint Pierre and Miquelon","MQC"
"St Pierre Airport","St.-pierre","Saint Pierre and Miquelon","FSP"
"Ambérieu Air Base (BA 278)","Amberieu","France","\N"
"Damblain Airport","Damblain","France","\N"
"Andravida Air Base","Andravida","Greece","PYR"
"Agrinion Air Base","Agrinion","Greece","AGQ"
"Dimokritos Airport","Alexandroupolis","Greece","AXD"
"Alexandria Airport","Alexandria","Greece","\N"
"Nea Anchialos Airport","Nea Anghialos","Greece","VOL"
"Elefsis Airport","Elefsis","Greece","\N"
"Chios Island National Airport","Chios","Greece","JKH"
"Ioannina Airport","Ioannina","Greece","IOA"
"Heraklion International Nikos Kazantzakis Airport","Heraklion","Greece","HER"
"Kastoria National Airport","Kastoria","Greece","KSO"
"Kithira Airport","Kithira","Greece","KIT"
"Kefallinia Airport","Keffallinia","Greece","EFL"
"Kalamata Airport","Kalamata","Greece","KLX"
"Amigdhaleon Airport","Kavala","Greece","\N"
"Kos Airport","Kos","Greece","KGS"
"Karpathos Airport","Karpathos","Greece","AOK"
"Ioannis Kapodistrias International Airport","Kerkyra/corfu","Greece","CFU"
"Kasos Airport","Kasos","Greece","KSJ"
"Alexander the Great International Airport","Kavala","Greece","KVA"
"Filippos Airport","Kozani","Greece","KZI"
"Leros Airport","Leros","Greece","LRS"
"Limnos Airport","Limnos","Greece","LXS"
"Larisa Airport","Larissa","Greece","LRA"
"Megara Airport","Megara","Greece","\N"
"Mikonos Airport","Mykonos","Greece","JMK"
"Mytilene International Airport","Mytilini","Greece","MJT"
"Aktion National Airport","Preveza","Greece","PVK"
"Maritsa Airport","Rhodos","Greece","\N"
"Diagoras Airport","Rhodos","Greece","RHO"
"Araxos Airport","Patras","Greece","GPA"
"Chania International Airport","Chania","Greece","CHQ"
"Skiathos Island National Airport","Skiathos","Greece","JSI"
"Samos Airport","Samos","Greece","SMI"
"Sparti Airport","Sparti","Greece","SPJ"
"Santorini Airport","Thira","Greece","JTR"
"Sitia Airport","Sitia","Greece","JSH"
"Stefanovikion Air Base","Stefanovikion","Greece","\N"
"Skiros Airport","Skiros","Greece","SKU"
"Tanagra Air Base","Tanagra","Greece","\N"
"Kasteli Airport","Kasteli","Greece","\N"
"Tripolis Airport","Tripolis","Greece","\N"
"Thessaloniki Macedonia International Airport","Thessaloniki","Greece","SKG"
"Tatoi Airport","Dekelia","Greece","\N"
"Zakynthos International Airport ""Dionysios Solomos""","Zakynthos","Greece","ZTH"
"Budapest Liszt Ferenc International Airport","Budapest","Hungary","BUD"
"Debrecen International Airport","Debrecen","Hungary","DEB"
"Kecskemét Airport","Kecskemet","Hungary","\N"
"Nyíregyháza Airport","Nyirregyhaza","Hungary","\N"
"Őcsény Airport","Ocseny","Hungary","\N"
"Szentkirályszabadja Airport","Azentkilyszabadja","Hungary","\N"
"Szolnok Air Base","Szolnok","Hungary","\N"
"Amendola Air Base","Amendola","Italy","\N"
"Crotone Airport","Crotone","Italy","CRV"
"Bari Karol Wojtyła Airport","Bari","Italy","BRI"
"Foggia ""Gino Lisa"" Airport","Foggia","Italy","FOG"
"Taranto-Grottaglie ""Marcello Arlotta"" Airport","Grottaglie","Italy","TAR"
"Lecce Galatina Air Base","Lecce","Italy","LCC"
"Pescara International Airport","Pescara","Italy","PSR"
"Brindisi – Salento Airport","Brindisi","Italy","BDS"
"Gioia Del Colle Air Base","Gioia Del Colle","Italy","\N"
"Lamezia Terme Airport","Lamezia","Italy","SUF"
"Catania-Fontanarossa Airport","Catania","Italy","CTA"
"Lampedusa Airport","Lampedusa","Italy","LMP"
"Pantelleria Airport","Pantelleria","Italy","PNL"
"Falcone–Borsellino Airport","Palermo","Italy","PMO"
"Palermo-Boccadifalco Airport","Palermo","Italy","\N"
"Reggio Calabria Airport","Reggio Calabria","Italy","REG"
"Vincenzo Florio Airport Trapani-Birgi","Trapani","Italy","TPS"
"Sigonella Navy Air Base","Sigonella","Italy","NSY"
"Alghero-Fertilia Airport","Alghero","Italy","AHO"
"Decimomannu Air Base","Decimomannu","Italy","DCI"
"Cagliari Elmas Airport","Cagliari","Italy","CAG"
"Olbia Costa Smeralda Airport","Olbia","Italy","OLB"
"Tortolì Airport","Tortoli","Italy","TTB"
"Torino-Aeritalia Airport","Turin","Italy","\N"
"Milano-Bresso Airfield","Milano","Italy","\N"
"Malpensa International Airport","Milano","Italy","MXP"
"Il Caravaggio International Airport","Bergamo","Italy","BGY"
"Turin Airport","Torino","Italy","TRN"
"Villanova D'Albenga International Airport","Albenga","Italy","ALL"
"Genoa Cristoforo Colombo Airport","Genoa","Italy","GOA"
"Milano Linate Airport","Milan","Italy","LIN"
"Cameri Air Base [MIL]","Cameri","Italy","\N"
"Parma Airport","Parma","Italy","PMF"
"Piacenza San Damiano Air Base","Piacenza","Italy","\N"
"Cuneo International Airport","Cuneo","Italy","CUF"
"Aviano Air Base","Aviano","Italy","AVB"
"Bolzano Airport","Bolzano","Italy","BZO"
"Cervia Air Base","Cervia","Italy","\N"
"Bologna Guglielmo Marconi Airport","Bologna","Italy","BLQ"
"Treviso-Sant'Angelo Airport","Treviso","Italy","TSF"
"Rivolto Air Base","Rivolto","Italy","\N"
"Forlì Airport","Forli","Italy","FRL"
"Ghedi Air Base","Ghedi","Italy","\N"
"Verona-Boscomantico Airport","Verona","Italy","\N"
"Brescia Airport","Brescia","Italy","VBS"
"Trieste–Friuli Venezia Giulia Airport","Ronchi De Legionari","Italy","TRS"
"Federico Fellini International Airport","Rimini","Italy","RMI"
"Istrana Air Base","Treviso","Italy","\N"
"Vicenza Airport","Vicenza","Italy","VIC"
"Padova Airport","Padova","Italy","QPA"
"Verona Villafranca Airport","Villafranca","Italy","VRN"
"Venice Marco Polo Airport","Venice","Italy","VCE"
"Siena-Ampugnano Airport","Siena","Italy","SAY"
"Ciampino–G. B. Pastine International Airport","Rome","Italy","CIA"
"Pratica Di Mare Air Base","Pratica Di Mare","Italy","\N"
"Leonardo da Vinci–Fiumicino Airport","Rome","Italy","FCO"
"Guidonia Air Base","Guidonia","Italy","\N"
"Marina Di Campo Airport","Marina Di Campo","Italy","EBA"
"Latina Air Base","Latina","Italy","QLT"
"Grazzanise Air Base","Grazzanise","Italy","\N"
"Naples International Airport","Naples","Italy","NAP"
"Pisa International Airport","Pisa","Italy","PSA"
"Peretola Airport","Florence","Italy","FLR"
"Grosseto Air Base","Grosseto","Italy","GRS"
"Urbe Airport","Rome","Italy","\N"
"Viterbo Airport","Viterbo","Italy","\N"
"Perugia San Francesco d'Assisi – Umbria International Airport","Perugia","Italy","PEG"
"Cerklje Airport","Cerklje","Slovenia","\N"
"Ljubljana Jože Pučnik Airport","Ljubljana","Slovenia","LJU"
"Maribor Airport","Maribor","Slovenia","MBX"
"Portoroz Airport","Portoroz","Slovenia","POW"
"Slovenj Gradec Airport","Slovenj Gradec","Slovenia","\N"
"České Budějovice Airport","Ceske Budejovice","Czech Republic","\N"
"Čáslav Air Base","Caslav","Czech Republic","\N"
"Hradec Králové Airport","Hradec Kralove","Czech Republic","\N"
"Hořovice Airport","Horovice","Czech Republic","\N"
"Kbely Air Base","Praha","Czech Republic","\N"
"Kunovice Airport","Kunovice","Czech Republic","UHE"
"Karlovy Vary International Airport","Karlovy Vary","Czech Republic","KLV"
"Plzeň-Líně Airport","Line","Czech Republic","\N"
"Mnichovo Hradiště Airport","Mnichovo Hradiste","Czech Republic","\N"
"Ostrava Leos Janáček Airport","Ostrava","Czech Republic","OSR"
"Náměšť Air Base","Namest","Czech Republic","\N"
"Pardubice Airport","Pardubice","Czech Republic","PED"
"Pribram Airport","Pribram","Czech Republic","\N"
"Přerov Air Base","Prerov","Czech Republic","PRV"
"Václav Havel Airport Prague","Prague","Czech Republic","PRG"
"Brno-Tuřany Airport","Brno","Czech Republic","BRQ"
"Vodochody Airport","Vodochody","Czech Republic","VOD"
"Ben Gurion International Airport","Tel-aviv","Israel","TLV"
"Beersheba (Teyman) Airport","Beer-sheba","Israel","BEV"
"Tel Nof Air Base","Tel-nof","Israel","\N"
"Ein Shemer Airfield","Eyn-shemer","Israel","\N"
"Eilat Airport","Elat","Israel","ETH"
"Ein Yahav Airfield","Eyn-yahav","Israel","EIY"
"Haifa International Airport","Haifa","Israel","HFA"
"Hatzor Air Base","Haztor","Israel","\N"
"Ben Ya'akov Airport","Rosh Pina","Israel","RPN"
"Megiddo Airport","Megido Airstrip","Israel","\N"
"Bar Yehuda Airfield","Metzada","Israel","MTZ"
"Nevatim Air Base","Nevatim","Israel","VTM"
"Ovda International Airport","Ovda","Israel","VDA"
"Ramat David Air Base","Ramat David","Israel","\N"
"Ramon Air Base","Ramon","Israel","MIP"
"Sde Dov Airport","Tel-aviv","Israel","SDV"
"Malta International Airport","Malta","Malta","MLA"
"Wiener Neustadt East Airport","Wiener Neustadt Ost","Austria","\N"
"Wels Airport","Wels","Austria","\N"
"Graz Airport","Graz","Austria","GRZ"
"Innsbruck Airport","Innsbruck","Austria","INN"
"Linz Hörsching Airport","Linz","Austria","LNZ"
"Salzburg Airport","Salzburg","Austria","SZG"
"Vienna International Airport","Vienna","Austria","VIE"
"Hinterstoisser Air Base","Zeltweg","Austria","\N"
"Alverca Air Base","Alverca","Portugal","AVR"
"Santa Maria Airport","Santa Maria (island)","Portugal","SMA"
"Bragança Airport","Braganca","Portugal","BGC"
"Beja Airport / Airbase","Beja (madeira)","Portugal","BYJ"
"Braga Municipal Aerodrome","Braga","Portugal","BGZ"
"Aerodromo Municipal de Coimbra","Coimba","Portugal","\N"
"Cascais Airport","Cascais","Portugal","CAT"
"Coimbra Hospital Covões Heliport","Covilha","Portugal","\N"
"Évora Airport","Evora","Portugal","\N"
"Flores Airport","Flores","Portugal","FLW"
"Faro Airport","Faro","Portugal","FAO"
"Graciosa Airport","Graciosa Island","Portugal","GRW"
"Horta Airport","Horta","Portugal","HOR"
"Lajes Airport","Lajes (terceira Island)","Portugal","TER"
"Monte Real Air Base","Monte Real","Portugal","QLR"
"Montijo Air Base","Montijo","Portugal","\N"
"Ovar Air Base","Ovar","Portugal","\N"
"João Paulo II Airport","Ponta Delgada","Portugal","PDL"
"Pico Airport","Pico","Portugal","PIX"
"Portimão Airport","Portimao","Portugal","PRM"
"Francisco de Sá Carneiro Airport","Porto","Portugal","OPO"
"Porto Santo Airport","Porto Santo","Portugal","PXO"
"Humberto Delgado Airport (Lisbon Portela Airport)","Lisbon","Portugal","LIS"
"São Jorge Airport","Sao Jorge Island","Portugal","SJZ"
"Sintra Air Base","Sintra","Portugal","\N"
"Tancos Airbase","Tancos","Portugal","\N"
"Vila Real Airport","Vila Real","Portugal","VRL"
"Aerodromo Goncalves Lobato (Viseu Airport)","Viseu","Portugal","VSE"
"Mostar International Airport","Mostar","Bosnia and Herzegovina","OMO"
"Sarajevo International Airport","Sarajevo","Bosnia and Herzegovina","SJJ"
"Arad International Airport","Arad","Romania","ARW"
"Bacău Airport","Bacau","Romania","BCM"
"Tautii Magheraus Airport","Baia Mare","Romania","BAY"
"Băneasa International Airport","Bucharest","Romania","BBU"
"Mihail Kogălniceanu International Airport","Constanta","Romania","CND"
"Cluj-Napoca International Airport","Cluj-napoca","Romania","CLJ"
"Caransebeş Airport","Caransebes","Romania","CSB"
"Craiova Airport","Craiova","Romania","CRA"
"Iaşi Airport","Iasi","Romania","IAS"
"Oradea International Airport","Oradea","Romania","OMR"
"Henri Coandă International Airport","Bucharest","Romania","OTP"
"Sibiu International Airport","Sibiu","Romania","SBZ"
"Satu Mare Airport","Satu Mare","Romania","SUJ"
"Suceava Stefan cel Mare Airport","Suceava","Romania","SCV"
"Tulcea Airport","Tulcea","Romania","TCE"
"Transilvania Târgu Mureş International Airport","Tirgu Mures","Romania","TGM"
"Timişoara Traian Vuia Airport","Timisoara","Romania","TSR"
"Les Eplatures Airport","Les Eplatures","Switzerland","\N"
"Geneva Cointrin International Airport","Geneva","Switzerland","GVA"
"Saanen Airport","Saanen","Switzerland","\N"
"Sion Airport","Sion","Switzerland","SIR"
"Alpnach Air Base","Alpnach","Switzerland","\N"
"Dübendorf Air Base","Dubendorf","Switzerland","\N"
"Emmen Air Base","Emmen","Switzerland","EML"
"Mollis Airport","Mollis","Switzerland","\N"
"Meiringen Airport","Meiringen","Switzerland","\N"
"Payerne Air Base","Payerne","Switzerland","\N"
"Lugano Airport","Lugano","Switzerland","LUG"
"Bern Belp Airport","Bern","Switzerland","BRN"
"Grenchen Airport","Grenchen","Switzerland","ZHI"
"Zürich Airport","Zurich","Switzerland","ZRH"
"St Gallen Altenrhein Airport","Altenrhein","Switzerland","ACH"
"Samedan Airport","Samedan","Switzerland","SMV"
"Güvercinlik Airport","Ankara","Turkey","\N"
