"compagnia_aerea","aeroplano"
"National Overseas Airlines Company","AP971"
"Air San Juan","AP758"
"Ivoire Aero Services","AP123"
"Transteco","AP405"
"Gulf Air Inc","AP528"
"Comlux Aviation","AP565"
"Eagle Aviation","AP86"
"Ecomex Air Cargo","AP161"
"Ocean Wings Commuter Service","AP159"
"Aero Costa Taxi Aereo","AP7"
"Mac Aviation","AP105"
"East Kansas City Aviation","AP187"
"INFINI Travel Information","AP421"
"Star Work Sky","AP550"
"Baikotovitchestrian Airlines ","AP346"
"Jet Freighters","AP126"
"Lineas Aereas San Jose","AP556"
"Global Air Charter","AP704"
"Yellowstone Club Private Shuttle","AP743"
"Atlantic Airways","AP861"
"Majestic Airlines","AP395"
"Agrocentr-Avia","AP729"
"Eastwind Airlines","AP711"
"223 Flight Unit State Airline","AP293"
"Servicios Aeronauticos Aero Personal","AP63"
"International Air Service","AP10"
"Air Park Aviation Ltd.","AP521"
"Air Tahoma","AP654"
"Grixona","AP695"
"Miami Air Charter","AP671"
"Malta Air Charter","AP723"
"EU Airways","AP67"
"Zhejiang Airlines","AP232"
"Express Line Aircompany","AP824"
"Flugfelag Vestmannaeyja","AP176"
"YES Airways","AP866"
"AeroMéxico","AP949"
"Israeli Air Force","AP365"
"Air-Rep","AP1"
"BRA-Transportes Aereos","AP346"
"Aero Servicios Azteca","AP507"
"Rog-Air","AP196"
"Nord-Flyg","AP500"
"Cyprair Tours","AP950"
"Aero Copter","AP116"
"Rabbit-Air","AP734"
"Haiti Ambassador Airlines","AP662"
"Dobrolet","AP492"
"Swissair","AP850"
"Operation Enduring Freedom","AP818"
"World Airways","AP624"
"Westair Industries","AP962"
"Aeromorelos","AP235"
"Sunworld Airlines","AP274"
"Jet-2000","AP491"
"Aviation Amos","AP669"
"Jettor Airlines","AP504"
"Grand Aire Express","AP831"
"Flagship Express Services","AP4"
"Valan Limited","AP407"
"Amsterdam Airlines","AP959"
"Dala Air Services","AP660"
"Bradly Air (Charter) Services","AP609"
"Aerolinea Muri","AP944"
"Svenska Direktflyg","AP879"
"Eurojet Romania","AP863"
"Air Lituanica","AP648"
"Aleem","AP461"
"Mercury Aircourier Service","AP889"
"Flightexec","AP614"
"Viscount Air Service","AP302"
"Aeroservices Corporate","AP25"
"BAL Bashkirian Airlines","AP783"
"Jigsaw Project","AP336"
"Gulfstream International Airlines","AP123"
"Hebradran Air Services","AP312"
"Yerevan-Avia","AP678"
"Avensa","AP789"
"Red Arrows Display Squadron","AP645"
"Fly France","AP370"
"AIR INDOCHINE","AP10"
"Rutland Aviation","AP157"
"Cargo 360","AP143"
"Aurela","AP191"
"Real Tonga","AP171"
"USAF Air Mobility Operations Control Center","AP287"
"Airways International","AP81"
"Royal Saudi Air Force","AP870"
"Flugwerkzeuge Aviation Software","AP125"
"ARP 410 Airlines","AP40"
"Pelican Air Services","AP383"
"SA Airlink Regional","AP237"
"Olimex Aerotaxi","AP156"
"Aeronaves Del Noroeste","AP792"
"EUjet","AP74"
"LSM Airlines","AP519"
"America West Airlines","AP283"
"Motor Sich","AP123"
"Dornier","AP346"
"Brazilian Navy Aviation","AP227"
"JALways","AP735"
"Wilderness Air","AP928"
"Air Andaman","AP915"
"Benair","AP192"
"Capital Trading Aviation","AP107"
"Vuelos Corporativos de Tehuacan","AP701"
"K S Avia","AP444"
"Egyptian Air Force","AP798"
"Servicios Aereos Agricolas","AP37"
"Irish Air Transport","AP31"
"Swissboogie Parapro","AP870"
"Civil Aviation Authority of New Zealand","AP308"
"Reed Aviation","AP846"
"Nederlandse Kustwacht","AP86"
"Air Amder","AP773"
"Flying Dolphin Airlines","AP833"
"Island Link","AP747"
"ABX Air","AP861"
"Sun Air of Scandinavia","AP106"
"Aero Vision","AP865"
"Stewart Aviation Services","AP943"
"AirRussia","AP769"
"Eaglemed (Ballard Aviation)","AP984"
"Regional Air Iceland","AP601"
"Neos","AP488"
"Aviones Para Servirle","AP209"
"Southern Cross Aviation","AP399"
"Aeron International Airlines","AP950"
"Northwood Headquarters (RAF","AP665"
"Mahan Air","AP84"
"Mahfooz Aviation","AP103"
"California Western","AP990"
"Chicago Express","AP361"
"Transair Gabon]","AP801"
"Aerotransportes Huitzilin","AP22"
"All Asia","AP915"
"All Argentina","AP623"
"Alitalia Cityliner","AP747"
"Carroll Air Service","AP603"
"J C Bamford (Excavators)","AP4"
"Qantas","AP899"
"Avialeasing Aviation Company","AP92"
"Aerologic","AP233"
"Manitoulin Air Services","AP772"
"Miras","AP557"
"Northern Air Cargo","AP448"
"Gulf Central Airlines","AP781"
"Norwegian Aviation College","AP928"
"Daimler Chrysler Aviation","AP936"
"Aex Air","AP10"
"Switfair Cargo","AP241"
"Aurigny Air Services","AP147"
"Moskovia Airlines","AP757"
"Sedona Air Center","AP891"
"Premium Air Shuttle","AP985"
"Mauria","AP447"
"Jetflite","AP921"
"Aerotucan","AP325"
"Japan Aircraft Service","AP547"
"Aeroflot-Cargo","AP509"
"Eclipse Aviation","AP170"
"Parmiss Airlines (IPV)","AP750"
"Air Cassai","AP639"
"Mines Air Services Zambia","AP803"
"West African Cargo Airlines","AP313"
"Western Express Air Lines","AP441"
"Small Planet Airlines","AP725"
"Master Planner","AP132"
"Air-Rep","AP902"
"Latvian Air Force","AP533"
"Flash Airlines","AP744"
"Propheter Aviation","AP881"
"Zambezi Airlines (ZMA)","AP404"
"Aeroatlantico Colombia","AP828"
"Conquest Airlines","AP465"
"Air Consul","AP140"
"ENTERair","AP667"
"Rio Airways","AP357"
"Air Alps Aviation","AP316"
"Regency Airlines","AP620"
"Kunpeng Airlines","AP631"
"Flugfelag Vestmannaeyja","AP834"
"African West Air","AP337"
"Polish Navy","AP657"
"Air-Spray 1967 Ltd.","AP818"
"Dominicana de Aviaci","AP666"
"Aviast Air","AP350"
"Flightcraft","AP241"
"Rio Air Express","AP63"
"Air Greenland","AP257"
"Streamline Aviation","AP405"
"Corporate Flight International","AP409"
"Hawaiian Pacific Airlines","AP644"
"Selkirk Remote Sensing","AP34"
"Parsa","AP29"
"Triton Airlines","AP822"
"Artem-Avia","AP292"
"GFW Aviation","AP146"
"Regional Paraguaya","AP922"
"Serbian Airlines","AP414"
"Michael Airlines","AP138"
"Cosmic Air","AP161"
"Embassy Airlines","AP829"
"Knighthawk Express","AP828"
"Jordan International Air Cargo","AP44"
"Air Koryo","AP125"
"Air Lituanica","AP13"
"BMW","AP364"
"Egyptair Cargo","AP680"
"Central Queensland Aviation College","AP151"
"Global Sky Aircharter","AP888"
"Aeroservicios Intergrados de Norte","AP762"
"Business Flight Salzburg","AP499"
"Union Africaine des Transports","AP617"
"Olympic Airlines","AP841"
"Air Taxi & Cargo","AP92"
"TACA Peru","AP975"
"Active Aero Charter","AP209"
"Flightpass Limited","AP965"
"SASCA","AP57"
"Transportes Aereos del Mundo Maya","AP52"
"Skyjet Airlines","AP325"
"Westair Cargo Airlines","AP518"
"Yamal Airlines","AP276"
"Miniliner","AP806"
"Aerolineas De Morelia","AP315"
"Pulkovo Aircraft Services","AP2"
"Aerolitoral","AP139"
"Semos","AP693"
"DHL Air","AP313"
"Araiavia","AP119"
"CKC Services","AP516"
"Karlog Air Charter","AP756"
"Avialsa T-35","AP491"
"Enerjet","AP238"
"Eurojet Limited","AP559"
"Royal Falcon","AP896"
"Caribbean Air Transport","AP608"
"Publivoo","AP970"
"SmartLynx Airlines","AP834"
"Air Sorel","AP989"
"Angkor Airlines","AP913"
"Homac Aviation","AP494"
"Spike Airlines","AP169"
"E H Darby Aviation","AP832"
"Arik Niger","AP67"
"TMC Airlines","AP754"
"Primair","AP267"
"Aero Flight","AP353"
"Entergy Services","AP369"
"Chevron U.S.A","AP225"
"Luxembourg Air Rescue","AP185"
"J P Hunt Air Carriers","AP503"
"AERFI Group","AP918"
"Sunwest Home Aviation","AP594"
"Heliaviation Limited","AP491"
"Inter-Canadian","AP781"
"Aerotaxi Del Valle","AP627"
"Germanwings","AP125"
"Lebanese Air Transport (Charter)","AP452"
"BAC Express Airlines","AP80"
"Royal Jet","AP748"
"China Express Airlines","AP452"
"Air Glaciers","AP171"
"Pearl Air","AP822"
"Sun Pacific International","AP245"
"Air Tahiti Nui","AP924"
"Indonesia Sky","AP529"
"223 Flight Unit State Airline","AP755"
"All America MX","AP230"
"West Coast Air","AP391"
"Hong Kong Airlines","AP66"
"LADE - Lineas Aereas Del Estado","AP801"
"Ratkhan Air","AP936"
"Kelowna Flightcraft Air Charter","AP984"
"Tower Air","AP66"
"Aex Air","AP380"
"Jusur airways","AP412"
"Corporate Airlink","AP524"
"Benair","AP537"
"North American Jet Charter Group","AP674"
"Urgemer Canarias","AP775"
"Blue Swann Aviation","AP550"
"Amaszonas","AP220"
"Aviaservice","AP557"
"Focus Air","AP811"
"Voronezhskie Airlanes","AP917"
"Atuneros Unidos de California","AP445"
"Orbest","AP493"
"Force Aerienne Francaise","AP957"
"Malindo Air","AP416"
"Spicejet","AP447"
"Scorpio Aviation","AP648"
"Dix Aviation","AP912"
"Aerolineas Turisticas del Caribe","AP162"
"Central American Airlines","AP427"
"Pyramid Air Lines","AP917"
"Belair Airlines","AP355"
"Aerotrans Airlines","AP495"
"Civair Airways","AP143"
"Aerolineas Africanas","AP48"
"TMC Airlines","AP867"
"Regional Air","AP635"
"Allcanada Express","AP235"
"Av Atlantic","AP295"
"Bizjet Ltd","AP950"
"Interfly","AP516"
"Aerolineas Ejecutivas","AP65"
"Ptarmigan Airways","AP696"
"Royal","AP306"
"Flightlink Tanzania","AP909"
"Zambian Airways","AP26"
"INAVIA Internacional","AP968"
"Alitalia Express","AP520"
"Chernomor-Avia","AP74"
"West Air Sweden","AP41"
"Red Wings","AP188"
"San Dima Air","AP264"
"Aero Charter","AP964"
"Cosmic Air","AP951"
"Air Manas","AP156"
"Martyn Fiddler Associates","AP988"
"Avitat","AP98"
"Air Satellite","AP610"
"Universal Jet Rental de Mexico","AP570"
"Wings of Lebanon Aviation","AP43"
"LSM Airlines","AP779"
"Malagasy Airlines","AP596"
"Cloud 9 Air Charters","AP223"
"Chartright Air","AP698"
"Vostok Airlines","AP434"
"InteliJet Airways","AP743"
"Emirates","AP244"
"Scenic Air","AP964"
"SATA Air Acores","AP517"
"Lomas Helicopters","AP111"
"American Falcon","AP63"
"UVT Aero","AP997"
"Bobb Air Freight","AP899"
"Atlantic Airfreight Aviation","AP917"
"Marghi Air","AP759"
"TransHolding","AP227"
"Patriot Airways","AP742"
"Shaheen Air International","AP742"
"East African Safari Air","AP9"
"Tigerfly","AP951"
"Deere and Company","AP399"
"Aero Empresa Mexicana","AP366"
"North-West Air Transport Company - Vyborg","AP383"
"Aurela","AP536"
"Southern Winds Airlines","AP439"
"Cameroon Airlines","AP222"
"Grand Canyon Airlines","AP812"
"Southern Aviation","AP803"
"Safat Airlines","AP182"
"Propair","AP404"
"Aerolineas Sosa","AP159"
"Punto Fa","AP675"
"Transport Facilitators","AP947"
"Air Marshall Islands","AP46"
"TAG Aviation Espana","AP437"
"Altair Aviation (1986)","AP855"
"Aerotal Aerolineas Territoriales de Colombia Ltda","AP935"
"Regent Air","AP842"
"Royal Tongan Airlines","AP490"
"Flamingo Air","AP261"
"MDLR Airlines","AP313"
"Association of Private Pilots of Kazakhstan","AP912"
"Air-Rep","AP625"
"Aero Vilamoura","AP464"
"Skyrover CC","AP222"
"Samar Air","AP689"
"Alpi Eagles (E8)","AP76"
"Air Alfa","AP789"
"Celtic West","AP783"
"Enerjet","AP82"
"AMS Group","AP618"
"China Ocean Helicopter Corporation","AP803"
"Kharkov Aircraft Manufacturing Company","AP658"
"Lankair","AP14"
"Pineapple Air","AP344"
"Transarabian Transportation Services","AP138"
"Air Lift","AP522"
"Cega Aviation","AP356"
"Colt International","AP525"
"Ikaros DK","AP697"
"Lanzarote Aerocargo","AP540"
"Hispaniola Airways","AP837"
"Sud Airlines","AP602"
"Lauda Air","AP18"
"Airest","AP408"
"Tomahawk Airways","AP622"
"Transporte Aereo Ernesto Saenz","AP872"
"Servicios Aereos Luce","AP703"
"Aviation Legere De L'Armee De Terre","AP752"
"Vueling Airlines","AP973"
"Aviacion Ejecutiva De Hildago","AP14"
"Flight Precision Limited","AP477"
"Artis","AP264"
"Western Pacific Airservice","AP942"
"Toronto Airways","AP71"
"Nordica","AP882"
"SNCF","AP804"
"Northern Jet Management","AP895"
"Kyrgyz Airlines","AP956"
"Bissau Airlines","AP624"
"Skycharter (Malton)","AP30"
"Angkor Airlines","AP474"
"Air Horizon","AP992"
"Royal Aruban Airline","AP284"
"Jubilee Airways","AP953"
"National Express","AP848"
"TRAST","AP961"
"Kitty Hawk Airways","AP502"
"Dala Air Services","AP697"
"A-Safar Air Services","AP343"
"WRA Inc","AP810"
"European Air Express","AP382"
"Wizz Air Ukraine","AP111"
"Thai Aviation Services","AP133"
"Canadian World","AP582"
"Mocambique Expresso","AP900"
"Trans Am Compania","AP570"
"LADE - Lineas Aereas Del Estado","AP919"
"Golfe Air Quebec","AP958"
"RACSA","AP637"
"Dun'Air","AP872"
"Thai Vietjet Air","AP842"
"Asia Aero Survey and Consulting Engineers","AP366"
"Sahel Aviation Service","AP787"
"Pond Air Express","AP343"
"El Sol De America","AP877"
"Neosiam Airways","AP491"
"Regionalia Uruguay","AP62"
"Jetall Holdings","AP880"
"Veteran Air","AP769"
"Island Air (WP)","AP65"
"Enimex","AP177"
"Starline.kz","AP413"
"Ensenada Vuelos Especiales","AP809"
"Airdeal Oy","AP42"
"Eastern Express","AP302"
"Atlantic Gulf Airlines","AP137"
"Peruvian Air Force","AP217"
"Gulf Pearl Air Lines","AP86"
"JM Family Aviation","AP732"
"Air Print","AP357"
"Rover Airways International","AP890"
"Urgemer Canarias","AP190"
"Georgian Airways","AP209"
"Aircompany Grodno","AP266"
"Aerolitoral","AP106"
"3 Valleys Airlines","AP122"
"Aero Taxi del Centro de Mexico","AP777"
"British Regional Airlines","AP475"
"Flight Centre Victoria","AP720"
"Sundance Air","AP826"
"Espace Aviation Services","AP191"
"S-Air","AP840"
"WSI Corporation","AP737"
"LANSA","AP534"
"Aerofumigaciones Sam","AP393"
"Yeti Airlines ","AP124"
"Alpliner AG","AP894"
"Priority Air Transport","AP259"
"Air Tenglong","AP651"
"Taxi Aereo Cozatl","AP230"
"Aero Siete","AP60"
"Transport Canada","AP971"
"Transairways","AP929"
"Era Alaska","AP988"
"Cat Aviation","AP411"
"Komiinteravia","AP215"
"Trail Lake Flying Service","AP708"
"Jigsaw Project","AP418"
"Eurocopter","AP659"
"Bassaka airlines","AP878"
"Royal Oman Police","AP451"
"Compania Ejecutiva","AP327"
"V-Berd-Avia","AP893"
"Pilatus Flugzeugwerke","AP64"
"Patria Cargas Aereas","AP158"
"Al Ahram Aviation","AP573"
"Real Aeroclub De Ternerife","AP669"
"Tanana Air Services","AP778"
"Nürnberger Flugdienst","AP202"
"Rocky Mountain Holdings","AP642"
"Air Horizon","AP695"
"Compania de Aviacion Faucett","AP47"
"Servicios Aereos del Nazas SA de CV","AP122"
"International Business Aircraft","AP107"
"Heli France","AP491"
"Virign Islands Seaplane Shuttle","AP286"
"BRA-Transportes Aereos","AP520"
"Panh","AP561"
"Butane Buzzard Aviation Corporation","AP127"
"Swiss Eagle","AP201"
"TAPC Aviatrans Aircompany","AP281"
"Celtic Airways","AP100"
"Comlux Aviation","AP760"
"Northwest Aero Associates","AP53"
"Island Airlines","AP415"
"Eastern Atlantic Charters","AP20"
"Aero Servicios Ejecutivas Del Pacifico","AP67"
"Indigo","AP369"
"Hoteles Dinamicos","AP126"
"Go Air","AP349"
"Laker Airways (Bahamas)","AP480"
"State Unitary Air Enterprise","AP890"
"Aero Lanka","AP662"
"Service People Gesselschaft fur Charter und Service","AP515"
"Weasua Air Transport Company","AP208"
"Blue Wing Airlines","AP874"
"Myflug","AP816"
"Skydrift","AP44"
"Aliven","AP140"
"Mahan Air","AP792"
"Lufthansa Technik","AP71"
"Skypower Express Airways","AP758"
"African Company Airlines","AP166"
"Fair Aviation","AP942"
"Corporate Flight International","AP138"
"Flylink Express","AP336"
"Air Hamburg (AHO)","AP179"
"Egyptian Aviation Company","AP283"
"International Flight Training Academy","AP56"
"Aero VIP (2D)","AP7"
"Eastern Pacific Aviation","AP400"
"Caribbean Airlines","AP923"
"Aviaprom Enterprises","AP961"
"Trans Air Charter","AP126"
"Arca Aerovias Colombianas Ltda.","AP902"
"New Heights 291","AP36"
"Trans Air-Benin","AP42"
"Morningstar Air Express","AP471"
"SkyKing Turks and Caicos Airways","AP18"
"Mombasa Air Safari","AP469"
"Transbrasil","AP752"
"Vistajet","AP382"
"African Express Airways","AP813"
"Dutch Caribbean Express","AP277"
"TTA - Sociedade de Transporte e Trabalho Aereo","AP610"
"Planemaster Services","AP54"
"Aeromover","AP186"
"Sky Express","AP725"
"Jet Air","AP571"
"SMA Airlines","AP294"
"Huessler Air Service","AP571"
"Fly Excellent","AP810"
"Tramon Air","AP813"
"Aerocontinente (Priv)","AP107"
"Servicios Aereos Corporativos","AP494"
"Alrosa Mirny Air Enterprise","AP125"
"Rath Aviaton","AP831"
"Airplanes Holdings","AP220"
"Transair","AP647"
"Euraviation","AP833"
"Aero Vision","AP43"
"Sun Air Aviation Services","AP828"
"K D Air Corporation","AP965"
"Bemidji Airlines","AP106"
"Jet Courier Service","AP276"
"Special Aviation Systems","AP140"
"Aykavia Aircompany","AP264"
"Air Koryo","AP599"
"Silverback Cargo Freighters","AP207"
"Heli Ambulance Team","AP907"
"Challenge Aviation","AP981"
"Fairways Corporation","AP112"
"FSH Luftfahrtunternehmen","AP621"
"Aviation Quebec Labrador","AP645"
"Tropican Air Services","AP481"
"Royal Air Force","AP366"
"Air Tahiti","AP726"
"Express International Cargo","AP721"
"Luxflight Executive","AP594"
"Air Saint Louis","AP424"
"International Business Aircraft","AP372"
"Alberta Government","AP69"
"Flight Safety Limited","AP760"
"Northern Airways","AP888"
"Tajik Air","AP68"
"Airsprint","AP264"
"Bismillah Airlines","AP756"
"Daimler-Chrysler","AP348"
"Goodridge (UK) Limited","AP527"
"Sincom-Avia","AP939"
"Alcon Servicios Aereos","AP566"
"African International Transport","AP809"
"Kinshasa Airways","AP255"
"AMR Services Corporation","AP434"
"Flight-Ops International","AP780"
"Burundayavia","AP695"
"Skyway Enterprises","AP791"
"Jeppesen Data Plan","AP670"
"Tradewind Aviation","AP176"
"Tassili Airlines","AP432"
"Garden State Airlines","AP18"
"Belavia Belarusian Airlines","AP451"
"RAF-Avia","AP340"
"OSACOM","AP800"
"Lomas Helicopters","AP689"
"Pacific Aviation (United States)","AP643"
"Khoezestan Photros Air Lines","AP866"
"Centurion Air Cargo","AP158"
"Lanaes Aereas Trans Costa Rica","AP758"
"World Scale Airlines","AP334"
"Tanana Air Services","AP463"
"Lockheed DUATS","AP847"
"Twin Town Leasing Company","AP446"
"All Africa","AP10"
"Charlan Air Charter","AP794"
"USA Jet Airlines","AP18"
"Air Continental Inc","AP374"
"Servicios Aereos Luce","AP697"
"Servicios Aereos Denim","AP689"
"MAS Airways","AP431"
"Sky King","AP870"
"Pacific Pearl Airways","AP204"
"Balmoral Central Contracts","AP404"
"Intervuelos","AP917"
"Air Travel Corp.","AP180"
"Hermes Airlines","AP320"
"Northamptonshire School of Flying","AP40"
"Valan International Cargo Charter","AP176"
"Ababeel Aviation","AP890"
"Aero VIP","AP226"
"Aviogenex","AP68"
"TNT International Aviation","AP235"
"Centro De Helicopteros Corporativos","AP663"
"Georgian Aviation Federation","AP752"
"Network Aviation Services","AP459"
"Gulf Flite Center","AP183"
"Clasair","AP447"
"Navegacao Aerea De Portugal","AP645"
"LOT Polish Airlines","AP176"
"Air Care Alliance","AP606"
"Aviazur","AP535"
"Corporate Aviation Services","AP385"
"Vueling Airlines","AP231"
"Alfa Aerospace","AP342"
"Sky Regional Airlines","AP667"
"Fair Wind Air Charter","AP878"
"Waddington FTU","AP649"
"Nizhnevartovskavia","AP473"
"Transmed Airlines","AP449"
"City Airways","AP779"
"Skyscapes Air Charters","AP585"
"Arvand Airlines","AP749"
"Zoom Airlines","AP370"
"Priority Air Transport","AP836"
"Hangard Aviation","AP592"
"Air Lithuania","AP1"
"Ministry of Agriculture","AP379"
"Erie Airways","AP205"
"VHM Schul-und-Charterflug","AP46"
"Streamline","AP697"
"AirOnix","AP315"
"NextJet","AP791"
"Valan International Cargo Charter","AP124"
"Air Ontario","AP755"
"Empire Air Service","AP212"
"Afra Airlines","AP503"
"Frontier Guard","AP435"
"Hamra Air","AP46"
"Aerolineas Del Pacifico","AP859"
"LANSA","AP572"
"Medical Aviation Services","AP228"
"Atlas Blue","AP326"
"Pocono Air Lines","AP457"
"CAM Air Management","AP51"
"Cyprus Airways","AP584"
"Knighthawk Express","AP919"
"Bristow Helicopters","AP311"
"Air Busan","AP432"
"Air Kazakhstan","AP116"
"Air Kufra","AP555"
"Hello","AP855"
"Aero Servicios de Nuevo Laredo","AP985"
"Air Caraibes Atlantique","AP850"
"Thyssen Krupp AG","AP59"
"Steinman Aviation","AP11"
"Changan Airlines","AP681"
"Neosiam Airways","AP689"
"Civil Aviation Inspectorate of the Czech Republic","AP712"
"Master Planner","AP615"
"Zhongyuan Aviation","AP744"
"South African Express","AP318"
"Azamat","AP21"
"Nippon Cargo Airlines","AP942"
"Seba Airlines","AP180"
"Casper Air Service","AP376"
"Pioneers Limited","AP712"
"Lucky Air","AP971"
"Scat Air","AP942"
"Coltishall Flying Training Unit","AP852"
"Tianjin Airlines","AP606"
"611897 Alberta Limited","AP728"
"Aeroeste","AP524"
"Coastal Travels","AP83"
"Qurinea Air Service","AP943"
"Dubai Airwing","AP874"
"Air 26","AP318"
"Triton Airlines","AP369"
"Aspen Helicopters","AP829"
"Maryland State Police","AP188"
"Arab Wings","AP793"
"Aviaexpress Aircompany","AP777"
"New England Airlines","AP104"
"Sapphire Aviation","AP400"
"Selkirk Remote Sensing","AP209"
"Kelix Air","AP115"
"Evergreen International Airlines","AP388"
"Skyway Enterprises","AP377"
"Worldwide Jet Charter","AP923"
"Laughlin Express","AP361"
"Philips Aviation Services","AP973"
"Silverjet","AP644"
"West Africa Airlines","AP328"
"Pool Aviation","AP832"
"Air Affaires Tchad","AP879"
"Aeroflot-Cargo","AP319"
"Kallat El Saker Air Company","AP100"
"Pinframat","AP973"
"Tengeriyn Ulaach Shine","AP597"
"Premiair Fliyng Club","AP460"
"Fly Africa Zimbabwe","AP978"
"Aero Empresa Mexicana","AP349"
"TAMPA","AP333"
"National Grid","AP707"
"China Northwest Airlines","AP417"
"Corporate Aircraft Company","AP939"
"All America CO","AP932"
"Japan Airlines Domestic","AP355"
"West Caribbean Costa Rica","AP644"
"Aeromarket Express","AP410"
"Advance Leasing Company","AP36"
"Selkirk Remote Sensing","AP192"
"FlyEgypt","AP931"
"EAA Escola De Aviacao Aerocondor","AP83"
"Taxi Aero Del Norte","AP621"
"Gatari Hutama Air Services","AP863"
"Copenhagen Airtaxi","AP738"
"Jet Aspen Air Lines","AP212"
"UFS","AP891"
"L&L Flygbildteknik","AP541"
"Luxor Air","AP274"
"Trinity Air Bahamas","AP445"
"Societe Centrafricaine De Transport Aerien","AP198"
"EuropeSky","AP866"
"Aerosuper","AP976"
"Haiti North Airline","AP746"
"North Vancouver Airlines","AP736"
"Guinee Paramount Airlines","AP499"
"All Argentina Express","AP402"
"Embry-Riddle Aeronautical University","AP25"
"Airbourne School of Flying","AP556"
"Nordeste Linhas Aereas Regionais","AP22"
"Turkuaz Airlines","AP420"
"Tennessee Air National Guard 164th Airlift Group","AP792"
"Peruvian Air Force","AP1000"
"Nordstree (Australia)","AP570"
"Benane Aviation Corporation","AP308"
"Aerovias Ejecutivas","AP533"
"SITA","AP265"
"Aero Fenix","AP314"
"S.P. Aviation","AP714"
"ATRAN Cargo Airlines","AP569"
"Air Fret De Mauritanie","AP889"
"Grantex Aviation","AP423"
"Alliance Air","AP939"
"India International Airways","AP374"
"Paccair","AP594"
"Swedish Civil Aviation Administration","AP315"
"SATA Air Acores","AP138"
"Thai Pacific Airlines Business","AP781"
"Airjet Exploracao Aerea De Carga","AP758"
"Kibris T","AP289"
"Artis","AP755"
"Transair Gabon]","AP61"
"Justice Prisoner and Alien Transportation System","AP375"
"Trans Sayegh Airport Services","AP49"
"Continental Micronesia","AP869"
"National Oceanic and Atmospheric Administration","AP537"
"C N Air","AP524"
"Brazilian Navy Aviation","AP576"
"Caribbean Airways","AP191"
"Mountain High Aviation","AP718"
"Ridder Avia","AP405"
"Lina Congo","AP720"
"Livingston","AP544"
"Rodze Air","AP417"
"Global Jet Corporation","AP290"
"Onetime Airlines Zambia","AP457"
"Espace Aviation Services","AP858"
"Aeroni","AP963"
"Jet-Ops","AP717"
"Aero Soga","AP823"
"Trans Sayegh Airport Services","AP560"
"Avstar Aviation","AP75"
"Alan Mann Helicopters Ltd.","AP327"
"Jubba Airways","AP129"
"Haughey Air","AP902"
"Fuji Dream Airlines","AP295"
"Flugschule Eichenberger","AP661"
"Farnas Aviation Services","AP398"
"Aerovaradero","AP169"
"Ministic Air","AP567"
"Airlines Of Tasmania","AP82"
"Camair-co","AP272"
"Westflight Aviation","AP516"
"Budget Air Bangladesh","AP364"
"Galena Air Service","AP703"
"Aero-Charter Ukraine","AP331"
"Transmile Air Services","AP887"
"Altus Airlines","AP463"
"Key Lime Air","AP465"
"Texas Spirit","AP411"
"Operation Enduring Freedom","AP344"
"Alberta Citylink","AP18"
"Slok Air","AP124"
"Aerovista Airlines","AP500"
"Civil Aviation Authority of New Zealand","AP808"
"Independence Air","AP830"
"Deutsches Zentrum fur Luft-und Raumfahrt EV","AP492"
"Tobruk Air","AP790"
"Aviones Para Servirle","AP892"
"Baltijas Helicopters","AP302"
"Bookajet Limited","AP320"
"Aero Calafia","AP306"
"ABX Air","AP998"
"Jet Center Flight Training","AP137"
"Minair","AP843"
"Nova Scotia Department of Lands and Forests","AP85"
"Mann Yadanarpon Airlines","AP194"
"Luhansk","AP7"
"Uni-Fly","AP174"
"Urgemer Canarias","AP878"
"Air Tenglong","AP859"
"Ecuatorial Cargo","AP477"
"LTE International Airways","AP461"
"Aerotransportes Internacionales De Torreon","AP293"
"Click (Mexicana)","AP505"
"Air South","AP506"
"Danish Army","AP213"
"Midwest Aviation Division","AP125"
"Midland Airport Services","AP759"
"World Experience Airline","AP274"
"US Airways","AP553"
"Orion Air Charter","AP90"
"Hangard Aviation","AP571"
"Northern Airways","AP347"
"Transteco","AP393"
"Corporate Jets","AP729"
"Pal Aerolineas","AP758"
"United Aviation Services","AP900"
"Aero Vilamoura","AP730"
"Petroleum Helicopters","AP988"
"Eagles Airlines","AP398"
"Eagle Aviation France","AP492"
"Edwards Jet Center of Montana","AP435"
"Servicios Aereos Gana","AP333"
"Russian Sky Airlines","AP507"
"Atlantair Ltd.","AP385"
"Avilu","AP485"
"Mudanjiang General Aviation","AP152"
"Binter Canarias","AP609"
"Global Weather Dynamics","AP991"
"China Ocean Helicopter Corporation","AP909"
"Midwest Air Freighters","AP559"
"ATMA","AP238"
"British Midland Regional","AP778"
"Aws express","AP534"
"Grupo TACA","AP644"
"Northamptonshire School of Flying","AP293"
"Aladia Airlines","AP628"
"GB Airlink","AP608"
"Southern Air","AP101"
"Citilink Indonesia","AP576"
"Gambia New Millennium Air","AP512"
"Airlift Alaska","AP4"
"Flying-Research Aerogeophysical Center","AP507"
"Thai Smile Airways","AP654"
"Comores Airlines","AP139"
"Canada Jet Charters","AP148"
"United States Air Force","AP764"
"African Medical and Research Foundation","AP371"
"Lineas Aereas Federales","AP452"
"Air Sorel","AP790"
"Bangkok Aviation Center","AP604"
"Grupo Vuelos Mediterraneo","AP262"
"Spirit of Africa Airlines","AP809"
