"tratta","data_istanza","aeroplano","numero_posti_rimanenti"
"T22","1991-05-15","AP163",34
"T37","2001-07-01","AP486",322
"T35","2017-07-18","AP276",6
"T5","1997-03-04","AP564",12
"T25","1998-04-16","AP699",72
"T2","1992-12-26","AP315",37
"T6","2004-06-28","AP294",46
"T9","2020-07-10","AP200",113
"T4","1992-05-17","AP284",63
"T12","2015-07-18","AP371",29
"T10","2015-12-18","AP965",118
"T19","2000-04-14","AP38",24
"T6","2020-07-01","AP550",258
"T25","2000-04-16","AP155",119
"T17","2014-05-25","AP252",93
"T10","1990-05-14","AP650",40
"T11","1991-11-27","AP341",67
"T32","2018-05-24","AP665",17
"T41","2013-03-31","AP875",96
"T21","1992-10-30","AP887",18
"T35","1996-05-03","AP772",25
"T48","2001-02-27","AP355",70
"T41","2006-09-04","AP602",1
"T4","2002-10-08","AP385",121
"T12","1996-09-27","AP34",33
"T6","1996-08-26","AP112",35
"T34","2013-05-19","AP532",17
"T34","1999-06-09","AP296",242
"T20","2003-02-23","AP265",4
"T40","2018-12-10","AP356",37
"T9","2015-10-24","AP121",6
"T50","2004-08-05","AP909",11
"T26","1992-06-05","AP951",13
"T9","1999-01-08","AP930",86
"T6","2000-11-12","AP248",17
"T38","2018-04-03","AP269",98
"T3","1991-01-29","AP753",8
"T7","1990-11-09","AP835",50
"T22","1994-12-08","AP943",174
"T35","2006-11-03","AP674",3
"T31","2020-10-29","AP664",80
"T49","1992-04-12","AP448",92
"T33","1992-08-12","AP611",16
"T15","2017-07-28","AP333",22
"T8","1994-12-07","AP831",14
"T33","2004-05-27","AP224",13
"T8","2003-02-04","AP928",8
"T9","1996-02-20","AP270",34
"T11","1997-02-13","AP955",39
"T27","2007-05-27","AP115",17
"T50","2010-07-11","AP129",40
"T6","2016-06-08","AP421",85
"T28","2011-06-29","AP27",18
"T45","2018-12-12","AP24",299
"T12","1993-09-20","AP210",8
"T18","1993-01-16","AP104",11
"T41","1991-12-01","AP296",107
"T21","2014-11-22","AP780",36
"T30","1995-11-28","AP676",81
"T47","2001-01-22","AP197",41
"T23","2010-11-21","AP392",37
"T3","2005-07-14","AP295",59
"T5","2018-04-13","AP247",16
"T24","2012-11-13","AP187",258
"T11","2001-04-01","AP581",8
"T4","1999-07-27","AP661",178
"T3","2002-12-20","AP652",10
"T31","2012-11-28","AP476",9
"T1","2005-12-28","AP935",2
"T36","1996-10-26","AP524",13
"T12","2005-08-20","AP756",20
"T40","2005-11-18","AP650",15
"T9","2019-06-30","AP658",153
"T12","1994-09-28","AP701",13
"T13","1990-07-29","AP923",9
"T11","1990-01-16","AP787",26
"T36","1999-11-08","AP104",1
"T48","2014-01-13","AP562",47
"T26","2006-11-15","AP485",119
"T29","2010-11-19","AP121",10
"T42","2019-10-13","AP172",47
"T29","2005-04-11","AP807",108
"T27","2017-06-17","AP182",49
"T48","1996-07-25","AP208",2
"T4","2019-03-26","AP445",49
"T32","2002-08-11","AP488",5
"T11","2005-05-29","AP919",75
"T10","1998-11-06","AP510",69
"T42","2017-11-04","AP602",12
"T49","1992-03-31","AP278",4
"T31","2018-07-25","AP443",39
"T7","2005-02-18","AP166",33
"T9","2014-11-03","AP367",30
"T19","2017-03-28","AP43",107
"T50","2010-09-30","AP666",144
"T41","2015-03-29","AP430",60
"T9","2010-04-21","AP35",29
"T11","1993-08-21","AP25",26
"T41","2005-03-03","AP412",1
"T2","2008-05-28","AP1",16
"T32","1992-01-26","AP342",13
"T35","2008-05-21","AP951",20
"T40","2016-06-24","AP954",22
"T27","1992-05-05","AP576",17
"T36","2017-04-25","AP234",70
"T16","2011-11-06","AP618",7
"T39","2005-11-08","AP887",2
"T15","2013-03-28","AP338",59
"T38","2016-10-19","AP71",14
"T2","2005-01-15","AP135",8
"T45","2004-12-06","AP695",65
"T45","2002-02-05","AP798",4
"T42","1994-12-20","AP170",27
"T5","1998-11-01","AP328",17
"T20","2018-01-11","AP922",41
"T3","2013-12-17","AP388",20
"T33","2012-05-10","AP994",47
"T47","1995-09-29","AP459",76
"T34","2011-04-14","AP583",116
"T13","2008-02-01","AP572",57
"T50","2002-02-26","AP826",105
"T39","2011-05-08","AP796",6
"T27","1998-04-21","AP312",3
"T45","2008-06-27","AP926",38
"T1","1997-02-18","AP770",241
"T1","2017-03-08","AP365",188
"T38","2008-10-20","AP825",10
"T27","2009-10-03","AP921",33
"T3","2007-06-05","AP729",131
"T6","2001-04-27","AP368",71
"T40","2015-09-25","AP165",19
"T34","1991-09-17","AP624",115
"T42","2012-04-23","AP901",221
"T14","1991-01-16","AP711",63
"T25","2003-09-09","AP907",31
"T50","1999-06-03","AP425",59
"T46","2003-02-19","AP494",80
"T36","2000-10-13","AP675",1
"T49","2005-04-21","AP890",43
"T19","2004-01-06","AP486",318
"T4","2005-12-30","AP653",111
"T6","1998-04-05","AP324",2
"T32","1990-05-28","AP980",1
"T4","1992-10-30","AP330",4
"T6","2006-05-21","AP389",70
"T29","2009-02-27","AP575",134
"T44","2002-01-09","AP266",209
"T33","1998-10-26","AP373",58
"T46","2014-05-10","AP430",180
"T25","1997-03-13","AP66",192
"T32","2003-08-15","AP249",17
"T19","2001-05-07","AP989",37
"T20","2009-12-09","AP209",201
"T36","2014-04-25","AP510",18
"T44","2010-05-25","AP910",24
"T1","2018-09-15","AP194",15
"T48","2008-10-17","AP706",47
"T3","1996-07-31","AP909",42
"T24","2003-07-30","AP555",20
"T20","2013-03-24","AP424",48
"T45","2006-05-25","AP798",28
"T12","2015-10-05","AP501",12
"T23","1991-05-03","AP778",3
"T40","2009-10-05","AP907",28
"T38","2004-12-21","AP467",8
"T26","2001-11-14","AP652",48
"T19","2006-10-03","AP303",44
"T41","1991-07-16","AP203",52
"T6","2019-05-08","AP287",12
"T30","2018-04-20","AP149",44
"T29","2012-07-07","AP683",125
"T34","2015-10-24","AP174",32
"T48","2011-05-17","AP909",39
"T16","2009-08-08","AP479",80
"T50","2014-05-07","AP798",22
"T2","2004-03-07","AP379",2
"T45","2001-08-11","AP479",2
"T12","2007-02-02","AP979",75
"T33","2009-08-06","AP536",64
"T28","1991-02-08","AP177",33
"T15","2019-12-18","AP344",534
"T12","2020-05-03","AP337",22
"T4","1993-06-14","AP113",12
"T32","2001-10-11","AP347",64
"T32","2019-07-12","AP122",22
"T17","1994-02-26","AP495",15
"T10","2006-03-14","AP758",10
"T38","1996-02-26","AP321",15
"T35","1998-10-08","AP294",12
"T28","1992-11-08","AP84",159
"T27","2016-11-05","AP163",19
"T11","1998-07-16","AP542",1
"T36","1996-05-12","AP959",12
"T9","1993-08-02","AP634",80
"T1","2013-02-28","AP337",3
"T28","2004-04-07","AP541",20
"T37","1998-04-20","AP247",9
"T50","2011-10-08","AP609",58
"T45","2016-12-30","AP547",9
"T17","2004-03-29","AP994",21
"T16","1996-10-31","AP362",129
"T25","1991-04-12","AP409",110
"T42","1993-10-05","AP898",65
"T33","2011-10-05","AP720",19
"T22","2013-10-04","AP456",4
"T9","1992-03-21","AP585",22
"T15","2016-03-24","AP869",202
"T30","2005-11-22","AP152",37
"T39","1995-08-18","AP784",8
"T18","2003-11-08","AP918",62
"T34","2004-04-02","AP181",117
"T16","2012-07-20","AP399",21
"T21","2019-07-31","AP634",98
"T13","1990-03-25","AP256",1
"T41","2009-04-24","AP332",67
"T43","2018-08-06","AP691",73
"T27","2014-12-27","AP565",31
"T7","1991-12-15","AP122",40
"T6","1997-11-21","AP720",15
"T13","2007-12-16","AP463",1
"T45","2018-08-09","AP843",32
"T4","2015-12-14","AP561",72
"T10","2007-02-17","AP271",66
"T14","1993-11-27","AP995",54
"T30","1998-07-15","AP732",54
"T32","2001-06-15","AP140",2
"T18","2000-05-09","AP611",19
"T16","1995-04-28","AP676",79
"T9","1994-10-27","AP64",57
"T34","2011-04-18","AP304",39
"T5","2006-05-24","AP55",9
"T16","2019-11-11","AP892",12
"T44","2020-09-23","AP192",9
"T40","1996-02-04","AP79",19
"T28","2006-08-12","AP22",38
"T6","2008-09-13","AP709",6
"T18","2017-02-12","AP999",113
"T38","1992-07-13","AP905",151
"T28","1991-07-16","AP343",8
"T22","2000-08-22","AP645",4
"T45","2000-03-12","AP835",17
"T48","2008-10-16","AP947",294
"T35","1995-10-27","AP708",30
"T36","2002-07-08","AP4",28
"T31","1998-10-01","AP881",267
"T28","1990-12-29","AP406",65
"T39","2020-01-31","AP665",18
"T4","2004-09-07","AP982",70
"T25","1990-11-23","AP647",48
"T45","2015-01-21","AP288",95
"T42","2019-03-28","AP585",29
"T33","1993-06-04","AP742",99
"T28","2009-11-24","AP796",16
"T24","2003-09-14","AP326",46
"T32","2013-05-18","AP459",63
"T20","2005-09-17","AP201",20
"T16","1996-01-07","AP864",262
"T46","2000-02-19","AP36",3
"T31","2004-02-28","AP850",37
"T50","2004-10-12","AP315",8
"T25","2008-09-29","AP59",198
"T9","2012-08-02","AP575",128
"T38","2002-06-07","AP118",162
"T39","2013-11-13","AP815",241
"T42","1995-08-27","AP302",28
"T12","2013-06-25","AP945",15
"T17","1997-12-26","AP891",2
"T7","2012-12-26","AP788",17
"T15","1996-03-23","AP196",7
"T21","1992-06-09","AP679",105
"T10","1995-12-16","AP948",43
"T45","2008-08-31","AP668",15
"T23","2016-05-27","AP504",28
"T19","2015-10-09","AP871",50
"T4","1997-08-04","AP293",14
"T4","2014-08-31","AP65",57
"T41","1995-06-27","AP15",36
"T31","2000-11-22","AP320",22
"T30","1991-06-03","AP823",9
"T46","2008-11-13","AP969",23
"T48","1990-10-03","AP10",2
"T21","2016-02-07","AP170",18
"T9","2007-10-19","AP783",6
"T18","2013-06-15","AP94",7
"T47","2018-09-25","AP577",8
"T14","2016-07-13","AP590",46
"T37","2000-05-02","AP215",89
"T7","2017-05-15","AP638",117
"T16","2006-10-05","AP775",21
"T4","2015-07-09","AP946",70
"T9","2013-07-19","AP720",7
"T33","2012-02-01","AP449",89
"T31","2000-05-25","AP858",23
"T50","2019-10-21","AP291",23
"T41","2001-03-11","AP469",41
"T1","1995-10-14","AP160",20
"T32","2019-10-22","AP259",49
"T48","1998-05-12","AP263",26
"T36","2002-10-13","AP292",31
"T7","2008-03-21","AP563",35
"T40","2011-10-14","AP655",2
"T31","2000-11-09","AP934",72
"T32","2018-05-30","AP898",45
"T24","2007-03-22","AP548",93
"T31","2002-05-13","AP251",56
"T43","2006-05-04","AP294",50
"T42","2001-10-28","AP748",13
"T27","2017-09-08","AP808",129
"T12","2002-06-22","AP157",19
"T15","1995-09-27","AP757",75
"T42","2002-11-02","AP411",87
"T49","2009-03-17","AP728",44
"T30","2001-02-28","AP36",28
"T18","2012-11-13","AP388",25
"T19","2019-03-10","AP397",94
"T10","2004-04-13","AP218",11
"T27","2008-12-05","AP560",55
"T11","1997-06-14","AP362",61
"T9","1993-11-11","AP610",10
"T12","2005-01-11","AP616",22
"T16","2019-09-15","AP477",84
"T12","2007-07-06","AP295",10
"T32","2018-01-18","AP488",3
"T11","2018-03-02","AP446",154
"T33","2012-11-28","AP708",1
"T24","2017-10-02","AP771",18
"T9","2004-10-24","AP463",54
"T1","2003-12-13","AP714",29
"T16","2015-02-10","AP113",11
"T42","1996-10-01","AP803",15
"T3","2005-08-07","AP139",27
"T28","2007-01-18","AP372",57
"T20","2014-11-08","AP974",107
"T30","2003-01-16","AP447",51
"T26","2003-03-03","AP118",80
"T31","1999-11-28","AP220",32
"T21","2009-04-10","AP454",52
"T14","1995-05-18","AP375",116
"T15","2018-04-10","AP600",234
"T14","1990-09-15","AP298",14
"T26","2000-05-08","AP303",29
"T18","2008-03-30","AP478",284
"T46","1999-08-09","AP634",29
"T30","2015-10-28","AP565",23
"T49","2008-09-19","AP730",2
"T5","2001-04-13","AP624",16
"T47","2001-05-16","AP457",32
"T12","2002-02-12","AP9",20
"T15","1995-04-28","AP819",18
"T10","2020-09-23","AP782",23
"T24","1997-10-07","AP568",1
"T23","1998-09-06","AP212",94
"T16","1997-07-03","AP971",6
"T46","2006-03-06","AP635",270
"T11","2017-03-11","AP876",71
"T49","1993-03-14","AP995",55
"T30","2000-08-21","AP405",8
"T27","2020-01-15","AP707",12
"T3","2004-10-16","AP7",36
"T18","1998-07-23","AP352",51
"T32","2001-04-21","AP691",83
"T31","1997-02-17","AP889",289
"T37","2010-04-09","AP42",8
"T33","2002-12-21","AP489",10
"T11","1991-12-11","AP135",33
"T49","1997-02-11","AP976",162
"T1","1991-09-28","AP423",17
"T36","2006-02-07","AP317",29
"T36","1994-05-28","AP664",21
"T8","2020-06-13","AP590",29
"T27","1995-02-10","AP255",66
"T17","2000-07-08","AP426",27
"T18","1990-08-25","AP258",14
"T44","2005-02-10","AP697",87
"T36","1993-06-22","AP221",9
"T44","1990-01-22","AP756",19
"T36","1999-07-10","AP623",76
"T44","2018-12-11","AP747",41
"T19","2013-12-14","AP451",47
"T17","1998-11-11","AP845",22
"T1","2010-01-06","AP714",84
"T4","2019-09-24","AP242",5
"T44","1996-04-12","AP869",3
"T43","1992-08-26","AP45",52
"T27","2009-08-23","AP64",114
"T38","2019-01-28","AP474",243
"T43","2007-07-04","AP541",14
"T47","1995-12-07","AP525",31
"T14","2008-04-13","AP85",98
"T10","1993-11-04","AP198",34
"T4","2011-02-19","AP146",174
"T7","2003-12-13","AP814",9
"T46","2020-04-26","AP603",19
"T50","1992-04-10","AP322",8
"T38","2008-12-27","AP556",40
"T42","2006-01-14","AP274",16
"T6","2005-07-01","AP363",58
"T6","2010-03-05","AP261",16
"T6","2002-12-12","AP939",15
"T43","2000-07-05","AP136",43
"T36","2006-11-08","AP656",14
"T45","2019-09-22","AP871",52
"T8","2019-05-20","AP76",6
"T46","2002-01-03","AP11",128
"T31","2016-10-02","AP647",16
"T26","2014-03-21","AP150",18
"T33","2003-09-13","AP39",43
"T33","2007-01-09","AP585",44
"T4","1990-02-21","AP715",32
"T6","2015-09-18","AP791",79
"T30","2008-05-20","AP859",106
"T41","2009-01-31","AP357",92
"T27","2017-07-11","AP375",296
"T30","1998-03-06","AP543",53
"T27","2006-05-27","AP303",44
"T41","2014-10-19","AP34",20
"T22","2016-11-28","AP511",15
"T46","2007-11-28","AP297",91
"T34","2000-03-08","AP381",27
"T30","2008-03-16","AP573",19
"T3","2005-01-15","AP58",99
"T6","2019-11-24","AP209",387
"T16","1991-03-15","AP277",88
"T50","2009-07-22","AP630",74
"T25","2002-09-22","AP635",33
"T45","2001-12-21","AP710",7
"T10","1990-04-25","AP347",85
"T15","1990-01-06","AP606",3
"T3","1993-01-03","AP890",63
"T25","2001-07-18","AP655",20
"T50","2013-05-22","AP250",1
"T28","1992-03-20","AP631",3
"T13","1992-02-21","AP784",16
"T10","1999-01-26","AP490",154
"T3","2006-03-20","AP936",129
"T5","2001-08-14","AP340",11
"T23","1993-03-29","AP887",20
"T33","1990-06-26","AP904",67
"T9","2013-12-27","AP380",24
"T29","1995-04-03","AP75",86
"T31","2017-03-09","AP559",33
"T17","2004-04-06","AP252",358
"T3","1995-04-12","AP391",136
"T9","2013-10-02","AP82",14
"T50","1992-08-06","AP137",106
"T22","2017-04-14","AP680",38
"T9","2008-11-06","AP484",21
"T44","2006-12-22","AP845",50
"T7","2002-08-29","AP424",48
"T4","1997-01-20","AP907",24
"T47","2005-12-14","AP538",53
"T28","2010-02-26","AP936",71
"T17","2020-02-18","AP814",106
"T33","1995-11-27","AP54",50
"T34","2019-01-13","AP700",22
"T9","2010-09-30","AP79",14
"T14","2004-03-09","AP898",45
"T35","1998-12-26","AP498",49
"T20","2020-03-26","AP300",1
"T20","2014-10-14","AP366",169
"T24","2016-03-28","AP823",6
"T9","2008-04-01","AP653",35
"T46","1999-03-09","AP459",66
"T11","2002-09-30","AP429",40
"T7","2019-02-22","AP480",230
"T28","2017-07-02","AP566",84
"T18","1992-06-19","AP674",28
"T16","1993-08-31","AP200",68
"T43","2005-10-20","AP9",7
"T30","1997-12-22","AP225",5
"T33","1997-10-01","AP96",2
"T15","2016-02-20","AP407",19
"T31","1992-08-14","AP939",24
"T24","2002-02-14","AP23",32
"T13","1993-12-31","AP222",18
"T22","2009-06-20","AP811",90
"T29","2019-02-04","AP987",24
"T4","2019-05-10","AP241",15
"T38","2002-02-21","AP197",25
"T33","1993-09-28","AP799",157
"T13","2016-12-22","AP849",48
"T38","2001-08-31","AP108",166
"T4","2001-02-12","AP369",25
"T24","2008-07-25","AP393",115
"T29","1995-03-20","AP817",9
"T16","2008-02-06","AP876",22
"T16","2000-04-07","AP723",90
"T9","2000-11-30","AP947",84
"T33","1991-01-17","AP617",57
"T38","2019-11-08","AP185",4
"T10","2020-03-18","AP856",338
"T21","2009-01-07","AP68",13
"T14","2008-01-01","AP356",22
"T13","2011-02-11","AP520",139
"T22","1994-09-10","AP762",127
"T9","2005-06-09","AP102",28
"T22","2017-08-04","AP673",139
"T42","1992-04-13","AP602",1
"T11","1990-03-01","AP462",5
"T9","2009-04-30","AP284",1
"T18","2002-01-07","AP403",95
"T14","2003-06-21","AP734",93
"T12","1995-01-18","AP233",93
"T25","2016-08-15","AP919",56
"T50","2014-04-14","AP171",100
"T18","2007-08-25","AP126",98
"T1","1990-05-15","AP811",81
"T39","2003-02-13","AP896",116
"T12","1991-04-16","AP735",44
"T10","2016-06-12","AP14",70
"T1","1991-10-20","AP320",35
"T1","2003-02-13","AP495",9
"T32","1997-07-08","AP104",23
"T14","2011-07-19","AP688",46
"T25","2020-12-11","AP223",22
"T29","1993-01-13","AP904",149
"T41","2016-02-06","AP948",22
"T26","2018-01-26","AP294",10
"T38","2016-09-04","AP197",36
"T41","2002-09-29","AP224",42
"T16","1996-04-01","AP691",13
"T1","1993-10-09","AP339",23
"T26","2006-06-04","AP216",38
"T17","1999-08-12","AP999",49
"T7","1995-01-06","AP670",36
"T12","2017-07-18","AP9",12
"T40","2008-09-21","AP340",23
"T3","1997-05-29","AP694",47
"T44","1992-10-10","AP277",3
"T48","1991-05-26","AP10",47
"T17","2003-03-27","AP528",7
"T43","2004-09-24","AP456",7
"T48","1998-06-26","AP102",14
"T18","2000-07-06","AP137",124
"T20","2003-08-25","AP303",59
"T41","2011-06-05","AP66",164
"T50","1996-08-08","AP540",15
"T15","2006-10-06","AP696",16
"T12","2020-01-30","AP8",64
"T26","2018-08-13","AP282",39
"T24","2015-03-19","AP930",26
"T43","2012-03-21","AP918",75
"T10","2011-02-15","AP537",121
"T25","1992-02-04","AP485",45
"T7","2009-11-04","AP651",56
"T49","2019-06-20","AP898",47
"T21","2016-05-28","AP739",134
"T20","2009-10-30","AP756",40
"T18","1996-11-10","AP118",90
"T27","1993-12-05","AP718",61
"T9","2002-11-11","AP279",20
"T6","2016-03-01","AP977",8
"T49","2013-04-08","AP796",46
"T41","2003-12-09","AP644",7
"T42","2002-04-27","AP839",22
"T19","1995-08-12","AP961",51
"T1","2008-11-16","AP982",66
"T32","2014-01-18","AP42",39
"T32","2005-09-01","AP791",47
"T8","2000-07-02","AP124",112
"T2","1997-12-24","AP174",26
"T9","1991-03-30","AP923",5
"T24","2017-12-28","AP364",19
"T33","2003-03-14","AP736",12
"T45","2011-01-11","AP861",15
"T36","1998-09-06","AP324",129
"T25","2010-11-30","AP204",22
"T2","2010-06-26","AP579",25
"T33","2018-04-06","AP641",17
"T18","1993-02-09","AP935",24
"T5","2018-10-20","AP225",20
"T18","1990-06-05","AP561",39
"T45","1991-02-09","AP659",26
"T5","2011-06-19","AP78",1
"T36","2009-05-19","AP380",217
"T41","2009-05-18","AP478",164
"T10","2020-05-11","AP381",64
"T45","2010-10-14","AP208",31
"T43","2015-01-08","AP157",106
"T12","1994-04-24","AP498",16
"T34","2017-07-24","AP881",229
"T49","1991-12-04","AP155",111
"T5","2005-10-30","AP11",60
"T44","1996-01-12","AP696",4
"T19","1998-08-24","AP724",61
"T44","2015-09-28","AP453",40
"T21","2007-09-19","AP180",23
"T2","2014-10-02","AP144",28
"T22","2013-06-27","AP358",23
"T50","1997-05-13","AP775",17
"T31","2007-01-03","AP959",40
"T18","2011-12-09","AP720",21
"T22","1994-02-12","AP587",30
"T43","1993-10-09","AP455",29
"T15","2016-12-04","AP635",2
"T14","2020-01-12","AP790",84
"T50","1998-09-06","AP192",15
"T1","2008-11-11","AP180",12
"T42","1997-10-31","AP675",5
"T23","1995-04-20","AP265",12
"T46","2020-11-30","AP409",15
"T13","2017-03-12","AP932",4
"T45","2012-05-09","AP465",20
"T35","2017-03-04","AP444",79
"T18","2000-10-23","AP498",94
"T24","2013-11-10","AP510",14
"T34","2013-06-15","AP528",15
"T26","2013-06-24","AP358",59
"T26","2009-01-20","AP493",44
"T37","1992-10-25","AP473",101
"T10","1999-09-17","AP598",12
"T20","1993-01-17","AP895",9
"T30","2002-10-03","AP582",30
"T12","2004-07-23","AP711",3
"T39","2020-03-28","AP173",4
"T20","2019-10-20","AP338",29
"T25","1995-08-24","AP624",19
"T31","2020-01-18","AP42",64
"T35","1999-02-26","AP386",29
"T20","1993-07-30","AP260",60
"T10","1997-07-28","AP632",32
"T40","2016-01-24","AP448",199
"T46","2014-03-24","AP4",48
"T4","2005-09-14","AP638",75
"T14","1999-12-19","AP600",141
"T16","2011-11-04","AP210",17
"T25","1996-07-25","AP926",68
"T32","1991-11-18","AP232",5
"T32","2006-05-10","AP468",98
"T20","2005-05-15","AP703",11
"T8","2001-07-03","AP487",89
"T19","2000-04-24","AP571",28
"T44","2001-03-13","AP284",64
"T28","2016-05-22","AP637",88
"T3","2018-02-19","AP369",17
"T37","2010-06-29","AP895",23
"T43","2017-08-24","AP621",21
"T45","2010-01-02","AP368",47
"T48","1999-07-30","AP209",173
"T28","1995-05-12","AP102",3
"T15","2019-05-01","AP276",9
"T45","1996-06-23","AP176",82
"T1","1999-02-20","AP162",34
"T50","2000-02-03","AP583",132
"T9","2013-09-18","AP75",48
"T46","2003-09-01","AP427",52
"T7","2018-07-13","AP1",10
"T5","2016-08-25","AP302",22
"T10","1992-11-20","AP408",94
"T23","2000-08-21","AP502",18
"T40","1990-08-05","AP273",51
"T30","1992-08-04","AP485",90
"T20","2005-10-08","AP315",14
"T12","2009-11-12","AP711",8
"T19","1990-01-14","AP430",227
"T20","2016-06-05","AP682",7
"T16","1992-03-25","AP428",43
"T39","2003-05-29","AP728",70
"T17","2009-03-19","AP228",33
"T4","2006-07-08","AP332",4
"T9","2001-10-22","AP745",64
"T22","2010-02-09","AP93",14
"T28","1998-11-22","AP238",25
"T48","2006-12-17","AP366",41
"T37","1996-02-18","AP493",1
"T12","2001-06-01","AP105",326
"T45","2003-05-07","AP43",138
"T24","2000-05-12","AP562",150
"T48","1994-05-22","AP240",5
"T42","1998-03-03","AP845",22
"T47","1998-05-08","AP563",20
"T46","2018-08-15","AP938",16
"T5","2013-10-26","AP10",30
"T27","2001-09-14","AP273",63
"T29","2017-04-29","AP83",2
"T43","1990-06-16","AP978",22
"T17","2018-05-07","AP549",50
"T24","2003-01-23","AP321",9
"T45","2004-03-22","AP423",23
"T35","1993-07-22","AP479",39
"T36","2007-07-03","AP550",288
"T33","2006-09-02","AP889",174
"T21","2008-08-21","AP612",2
"T48","2003-06-15","AP190",76
"T47","1993-02-25","AP731",9
"T21","2004-07-17","AP285",3
"T9","2019-12-16","AP710",17
"T8","2002-08-26","AP648",3
"T10","1996-01-01","AP995",52
"T9","1990-09-23","AP24",239
"T46","2011-05-10","AP903",33
"T29","2017-07-27","AP879",116
"T5","1993-03-22","AP721",59
"T15","2013-11-18","AP191",45
"T49","2013-01-18","AP852",68
"T30","2012-11-09","AP116",17
"T39","2012-02-10","AP762",24
"T32","2012-11-04","AP198",16
"T18","2009-12-05","AP850",119
"T44","2014-08-23","AP598",52
"T42","2002-10-28","AP818",280
"T10","2020-10-30","AP47",38
"T35","1994-09-16","AP362",79
"T14","2015-03-25","AP7",102
"T5","2006-06-05","AP608",65
"T7","2012-05-05","AP911",32
"T14","1994-03-30","AP78",6
"T35","2007-07-02","AP99",32
"T7","1993-08-19","AP230",154
"T39","2009-09-05","AP472",4
"T44","2004-03-02","AP441",9
"T32","2006-04-01","AP90",21
"T23","1994-08-06","AP827",100
"T31","2011-04-15","AP401",61
"T49","2011-10-20","AP576",34
"T20","2002-07-10","AP203",37
"T24","2007-08-11","AP977",74
"T38","2017-05-09","AP17",42
"T8","1996-04-23","AP378",13
"T28","2016-06-09","AP255",67
"T32","1999-07-18","AP551",8
"T35","1995-07-17","AP750",10
"T32","1990-10-05","AP295",31
"T31","1997-10-12","AP194",33
"T14","2011-12-27","AP373",68
"T21","2004-08-26","AP209",22
"T48","2009-05-01","AP403",114
"T25","2004-07-23","AP926",128
"T38","2014-11-13","AP909",27
"T48","2002-08-11","AP609",15
"T6","2000-11-03","AP603",4
"T27","2003-03-12","AP820",92
"T25","1995-01-28","AP652",7
"T45","2002-05-18","AP240",1
"T10","2009-04-25","AP316",48
"T13","2014-11-22","AP158",82
"T6","2019-03-24","AP225",18
"T18","1990-08-12","AP236",23
"T44","1990-09-28","AP160",29
"T31","2006-12-11","AP710",15
"T13","2011-07-23","AP174",7
"T15","2005-11-12","AP631",19
"T28","2008-11-04","AP554",5
"T32","2003-10-06","AP915",130
"T2","2007-11-04","AP883",14
"T28","1991-07-23","AP467",28
"T14","2005-02-17","AP729",229
"T13","1996-10-29","AP19",1
"T1","2003-08-19","AP525",27
"T30","1990-09-10","AP87",43
"T15","1996-01-07","AP882",130
"T40","2015-02-18","AP959",148
"T40","1991-12-25","AP573",17
"T10","2013-11-17","AP113",11
"T34","2005-12-10","AP329",33
"T31","2006-02-19","AP425",67
"T50","2000-09-14","AP208",32
"T32","2012-07-28","AP222",35
"T42","2016-01-18","AP816",3
"T23","1991-05-09","AP505",14
"T14","2020-07-12","AP636",26
"T19","1994-11-09","AP54",69
"T46","2019-04-10","AP683",276
"T22","1994-06-18","AP566",19
"T31","2004-10-08","AP528",34
"T26","1994-03-20","AP466",38
"T12","1992-02-28","AP912",71
"T10","2006-02-15","AP430",101
"T39","1996-11-19","AP702",10
"T47","2008-01-11","AP206",97
"T39","2003-07-10","AP715",10
"T7","1996-05-17","AP176",59
"T50","2017-02-15","AP958",12
"T17","1990-03-07","AP927",37
"T13","1997-02-06","AP786",6
"T29","2010-09-10","AP269",60
"T33","2008-06-07","AP129",3
"T3","1997-12-07","AP65",32
"T21","2020-02-03","AP881",300
"T12","1997-10-24","AP618",20
"T47","2007-04-27","AP360",40
"T6","1998-09-22","AP701",28
"T50","2014-01-05","AP418",50
"T9","1993-04-22","AP199",33
"T5","1996-02-08","AP351",19
"T9","2018-10-11","AP965",118
"T31","1993-09-25","AP940",39
"T42","1995-02-26","AP222",23
"T20","2020-09-12","AP326",47
"T7","2011-06-04","AP61",3
"T21","2013-03-28","AP527",43
"T24","2004-12-02","AP613",14
"T12","2011-05-07","AP121",15
"T24","2002-02-06","AP381",63
"T39","2000-01-17","AP765",73
"T5","1991-08-07","AP199",28
"T21","2010-11-08","AP296",196
"T7","2010-06-10","AP578",82
"T46","1998-11-14","AP981",6
"T41","2001-04-19","AP555",84
"T5","1996-02-24","AP642",113
"T32","2019-05-18","AP295",50
"T10","2002-07-28","AP454",72
"T7","1993-11-24","AP588",3
"T9","2007-03-26","AP710",13
"T9","2013-07-08","AP777",3
"T24","2010-07-08","AP611",4
"T10","2011-01-25","AP63",34
"T1","2011-12-14","AP385",113
"T10","1993-09-24","AP266",202
"T42","2011-01-24","AP77",48
"T34","1991-06-24","AP325",3
"T48","1991-01-27","AP534",192
"T13","2018-04-22","AP335",41
"T49","1998-09-14","AP36",3
"T9","2020-06-26","AP505",7
"T38","2018-11-03","AP958",15
"T14","1990-10-12","AP720",5
"T39","1994-06-01","AP907",59
"T48","1993-01-11","AP538",8
"T23","1995-11-29","AP387",108
